sno,technology,slug,category,category_slug,companies,jobs,url
2792,Aws Outposts,aws-outposts,Platform And Storage,platform-and-storage,207,603,https://theirstack.com/en/technology/aws-outposts
2793,Aws Privatelink,aws-privatelink,Computer Networks,computer-networks,948,1.9k,https://theirstack.com/en/technology/aws-privatelink
2794,Aws Proton,aws-proton,Devops And Development,devops-and-development,27,48,https://theirstack.com/en/technology/aws-proton
2795,Aws Ram,aws-ram,Marketing,marketing,8,11,https://theirstack.com/en/technology/aws-ram
2796,Aws Robomaker,aws-robomaker,Devops And Development,devops-and-development,31,66,https://theirstack.com/en/technology/aws-robomaker
2797,Aws Route53,aws-route53,Computer Networks,computer-networks,6.4k,18k,https://theirstack.com/en/technology/aws-route53
2798,Aws S3 Object Lock,aws-s3-object-lock,Platform And Storage,platform-and-storage,16,21,https://theirstack.com/en/technology/aws-s3-object-lock
2799,Aws S3 Versioning,aws-s3-versioning,Platform And Storage,platform-and-storage,37,53,https://theirstack.com/en/technology/aws-s3-versioning
2800,Aws Saas Boost,aws-saas-boost,Platform And Storage,platform-and-storage,0,0,https://theirstack.com/en/technology/aws-saas-boost
2801,Aws Schema Conversion Tool,aws-schema-conversion-tool,IT Management,it-management,206,386,https://theirstack.com/en/technology/aws-schema-conversion-tool
2802,Aws Sdk For Net,aws-sdk-for-net,Platform And Storage,platform-and-storage,188,331,https://theirstack.com/en/technology/aws-sdk-for-net
2803,Aws Sdks,aws-sdks,Devops And Development,devops-and-development,25k,83k,https://theirstack.com/en/technology/aws-sdks
2804,Aws Secrets Manager,aws-secrets-manager,IT Security,it-security,4k,9.1k,https://theirstack.com/en/technology/aws-secrets-manager
2805,Aws Security Hub,aws-security-hub,IT Security,it-security,4.9k,11k,https://theirstack.com/en/technology/aws-security-hub
2806,Aws Server Migration Service,aws-server-migration-service,Platform And Storage,platform-and-storage,107,203,https://theirstack.com/en/technology/aws-server-migration-service
2807,Aws Service Catalog,aws-service-catalog,Platform And Storage,platform-and-storage,451,1.1k,https://theirstack.com/en/technology/aws-service-catalog
2808,Aws Shell,aws-shell,Marketing,marketing,4.8k,12k,https://theirstack.com/en/technology/aws-shell
2809,Aws Shield,aws-shield,IT Security,it-security,1.2k,2.8k,https://theirstack.com/en/technology/aws-shield
2810,Aws Simspace Weaver,aws-simspace-weaver,Business Intelligence And Analytics,business-intelligence-and-analytics,2,2,https://theirstack.com/en/technology/aws-simspace-weaver
2811,Aws Single Sign On,aws-single-sign-on,IT Security,it-security,18k,56k,https://theirstack.com/en/technology/aws-single-sign-on
2812,Aws Snowball Edge,aws-snowball-edge,Business Intelligence And Analytics,business-intelligence-and-analytics,12,50,https://theirstack.com/en/technology/aws-snowball-edge
2813,Aws Step Functions,aws-step-functions,Marketing,marketing,8.4k,26k,https://theirstack.com/en/technology/aws-step-functions
2814,Aws Storage Gateway,aws-storage-gateway,Platform And Storage,platform-and-storage,302,810,https://theirstack.com/en/technology/aws-storage-gateway
2815,Aws Systems Manager,aws-systems-manager,Productivity And Operations,productivity-and-operations,18k,42k,https://theirstack.com/en/technology/aws-systems-manager
2816,Aws Tools For Powershell,aws-tools-for-powershell,Platform And Storage,platform-and-storage,22,31,https://theirstack.com/en/technology/aws-tools-for-powershell
2817,Aws Transfer For Sftp,aws-transfer-for-sftp,Programming Languages And Frameworks,programming-languages-and-frameworks,21,100,https://theirstack.com/en/technology/aws-transfer-for-sftp
2818,Aws Transit Gateway,aws-transit-gateway,Programming Languages And Frameworks,programming-languages-and-frameworks,3.5k,8.2k,https://theirstack.com/en/technology/aws-transit-gateway
2819,Aws Trusted Advisor,aws-trusted-advisor,Programming Languages And Frameworks,programming-languages-and-frameworks,126,477,https://theirstack.com/en/technology/aws-trusted-advisor
2820,Aws Verified Access,aws-verified-access,IT Security,it-security,8,25,https://theirstack.com/en/technology/aws-verified-access
2821,Aws Waf,aws-waf,IT Security,it-security,5.8k,13k,https://theirstack.com/en/technology/aws-waf
2822,Aws Wickr,aws-wickr,IT Security,it-security,7,46,https://theirstack.com/en/technology/aws-wickr
2823,Aws X Ray,aws-x-ray,Devops And Development,devops-and-development,1.3k,2.8k,https://theirstack.com/en/technology/aws-x-ray
2824,Awstats,awstats,Business Intelligence And Analytics,business-intelligence-and-analytics,23,40,https://theirstack.com/en/technology/awstats
2825,Aww,aww,Collaboration,collaboration,192,1.2k,https://theirstack.com/en/technology/aww
2826,Awx,awx,Devops And Development,devops-and-development,2.8k,8.7k,https://theirstack.com/en/technology/awx
2827,Axa Travel Insurance,axa-travel-insurance,Finance And Accounting,finance-and-accounting,1,5,https://theirstack.com/en/technology/axa-travel-insurance
2828,Axcelerate,axcelerate,IT Security,it-security,435,1k,https://theirstack.com/en/technology/axcelerate
2829,Axcelerate Lms,axcelerate-lms,HR,hr,80,153,https://theirstack.com/en/technology/axcelerate-lms
2830,Axcept,axcept,Testing And QA,testing-and-qa,2,2,https://theirstack.com/en/technology/axcept
2831,Axcient,axcient,IT Security,it-security,154,280,https://theirstack.com/en/technology/axcient
2832,Axcient Draas,axcient-draas,Platform And Storage,platform-and-storage,0,0,https://theirstack.com/en/technology/axcient-draas
2833,Axcrypt,axcrypt,IT Security,it-security,4,10,https://theirstack.com/en/technology/axcrypt
2834,Axe Finance,axe-finance,Finance And Accounting,finance-and-accounting,13,14,https://theirstack.com/en/technology/axe-finance
2835,Axence Nvision,axence-nvision,IT Security,it-security,7,9,https://theirstack.com/en/technology/axence-nvision
2836,Axentix,axentix,Programming Languages And Frameworks,programming-languages-and-frameworks,0,0,https://theirstack.com/en/technology/axentix
2837,Axeptio,axeptio,Marketing,marketing,68,125,https://theirstack.com/en/technology/axeptio
2838,Axial,axial,Marketing,marketing,2k,7.7k,https://theirstack.com/en/technology/axial
2839,Axigen,axigen,Marketing,marketing,11,21,https://theirstack.com/en/technology/axigen
2840,Axio Cybersecurity,axio-cybersecurity,IT Security,it-security,0,0,https://theirstack.com/en/technology/axio-cybersecurity
2841,Axio Money Management,axio-money-management,Finance And Accounting,finance-and-accounting,0,0,https://theirstack.com/en/technology/axio-money-management
2842,Axiom Epm,axiom-epm,Finance And Accounting,finance-and-accounting,37,84,https://theirstack.com/en/technology/axiom-epm
2843,Axios,axios,Programming Languages And Frameworks,programming-languages-and-frameworks,5.2k,11k,https://theirstack.com/en/technology/axios
2844,Axios Systems Assyst,axios-systems-assyst,Devops And Development,devops-and-development,1,2,https://theirstack.com/en/technology/axios-systems-assyst
2845,Axis Lms,axis-lms,HR,hr,102,555,https://theirstack.com/en/technology/axis-lms
2846,Axiscare,axiscare,Health Tech,health-tech,582,4.1k,https://theirstack.com/en/technology/axiscare
2847,Axle Lms,axle-lms,HR,hr,1,1,https://theirstack.com/en/technology/axle-lms
2848,Axolo Co,axolo-co,,,,,https://theirstack.com/en/technology/axolo-co
2849,Axon,axon,Programming Languages And Frameworks,programming-languages-and-frameworks,2.8k,6.9k,https://theirstack.com/en/technology/axon
2850,Axonaut,axonaut,Collaboration,collaboration,145,283,https://theirstack.com/en/technology/axonaut
2851,Axonify Lms,axonify-lms,HR,hr,187,720,https://theirstack.com/en/technology/axonify-lms
2852,Axonius,axonius,IT Management,it-management,375,966,https://theirstack.com/en/technology/axonius
2853,Axonix,axonix,Marketing,marketing,0,0,https://theirstack.com/en/technology/axonix
2854,Axosoft,axosoft,Product And Design,product-and-design,68,132,https://theirstack.com/en/technology/axosoft
2855,Axs2Lms,axs2lms,HR,hr,0,0,https://theirstack.com/en/technology/axs2lms
2856,Axsy,axsy,Sales,sales,1,1,https://theirstack.com/en/technology/axsy
2857,Axure 2,axure-2,Collaboration,collaboration,8k,21k,https://theirstack.com/en/technology/axure-2
2858,Axure Rp,axure-rp,Collaboration,collaboration,789,1.5k,https://theirstack.com/en/technology/axure-rp
2859,Axway 5 Suite,axway-5-suite,Programming Languages And Frameworks,programming-languages-and-frameworks,3,8,https://theirstack.com/en/technology/axway-5-suite
2860,Axway Secure Transport,axway-secure-transport,IT Security,it-security,320,618,https://theirstack.com/en/technology/axway-secure-transport
2861,Axxerion,axxerion,Operations Software,operations-software,191,567,https://theirstack.com/en/technology/axxerion
2862,Axxess,axxess,Health Tech,health-tech,527,2.5k,https://theirstack.com/en/technology/axxess
2863,Ayboll,ayboll,Marketing,marketing,0,0,https://theirstack.com/en/technology/ayboll
2864,Ayima,ayima,Marketing,marketing,6,9,https://theirstack.com/en/technology/ayima
2865,Aylien,aylien,Business Intelligence And Analytics,business-intelligence-and-analytics,8,18,https://theirstack.com/en/technology/aylien
2866,Ayoa,ayoa,Collaboration,collaboration,9,38,https://theirstack.com/en/technology/ayoa
2867,Aytm,aytm,Customer Management,customer-management,13,24,https://theirstack.com/en/technology/aytm
2868,Azavista,azavista,Collaboration,collaboration,2,2,https://theirstack.com/en/technology/azavista
2869,Azendoo,azendoo,Collaboration,collaboration,2,6,https://theirstack.com/en/technology/azendoo
2870,Azetone Mobile Ab Testing Ariseio,azetone-mobile-ab-testing-ariseio,Testing And QA,testing-and-qa,0,0,https://theirstack.com/en/technology/azetone-mobile-ab-testing-ariseio
2871,Azeus Convene,azeus-convene,Collaboration,collaboration,13,224,https://theirstack.com/en/technology/azeus-convene
2872,Azimio,azimio,Finance And Accounting,finance-and-accounting,0,0,https://theirstack.com/en/technology/azimio
2873,Azk,azk,Programming Languages And Frameworks,programming-languages-and-frameworks,61,299,https://theirstack.com/en/technology/azk
2874,Azorus,azorus,Sales,sales,8,14,https://theirstack.com/en/technology/azorus
2875,Azstudio,azstudio,Devops And Development,devops-and-development,1,2,https://theirstack.com/en/technology/azstudio
2876,Azuga,azuga,Productivity And Operations,productivity-and-operations,137,363,https://theirstack.com/en/technology/azuga
2877,Azure Active Directory,azure-active-directory,IT Security,it-security,47k,147k,https://theirstack.com/en/technology/azure-active-directory
2878,Azure Active Directory B2C,azure-active-directory-b2c,IT Security,it-security,158,322,https://theirstack.com/en/technology/azure-active-directory-b2c
2879,Azure Active Directory Domain Services,azure-active-directory-domain-services,IT Security,it-security,144,298,https://theirstack.com/en/technology/azure-active-directory-domain-services
2880,Azure Ai Custom Vision,azure-ai-custom-vision,,,,,https://theirstack.com/en/technology/azure-ai-custom-vision
